Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
1,114,0.567175886,0.583814288,0.1,5,0.1,polynomial,,0.008562866,0.001967596
1,115,0.567081583,0.606801713,0.1,5,0.3,polynomial,,0.012218602,0.001905311
1,116,0.566983195,0.610934651,0.05,4,0.5,polynomial,,0.014517352,0.001692768
1,117,0.566868239,0.579606969,0.09,4,0.1,polynomial,,0.009931624,0.002197061
1,118,0.566660842,0.574313737,0.07,,0.1,rbf,,0.013199404,0.002451012
1,119,0.566543125,0.607365773,0.09,5,0.3,polynomial,,0.012209153,0.001905105
1,120,0.566479065,0.578827011,0.1,4,0.1,polynomial,,0.010151558,0.002225896
1,121,0.566274329,0.576041052,0.07,3,0.1,polynomial,,0.011200795,0.002385809
1,122,0.566273244,0.613733222,0.01,3,0.9,polynomial,,0.020696132,0.001925909
1,123,0.5658749,0.573723526,0.03,2,0.1,polynomial,,0.011610105,0.002498313
1,124,0.565264014,0.57219898,0.09,,0.1,rbf,,0.013992606,0.002514834
1,125,0.565054378,0.60869064,0.07,5,0.3,polynomial,,0.012229345,0.001903617
1,126,0.565028543,0.574088486,0.09,3,0.1,polynomial,,0.011653986,0.002422209
1,127,0.564887179,0.615130083,0.01,3,1,polynomial,,0.020735346,0.001892644
1,128,0.564584506,0.571233758,0.1,,0.1,rbf,,0.014350429,0.002543532
1,129,0.564426846,0.573201282,0.1,3,0.1,polynomial,,0.011855014,0.002434623
1,130,0.563871249,0.61346286,0.03,4,0.5,polynomial,,0.013997871,0.001618757
1,131,0.563486553,0.613029267,0.1,4,0.7,polynomial,,0.014309541,0.001644526
1,132,0.562738123,0.613586646,0.09,4,0.7,polynomial,,0.014186885,0.00162859
1,133,0.562634449,0.610450099,0.05,5,0.3,polynomial,,0.012495298,0.001899084
1,134,0.562624815,0.569521441,0.05,2,0.1,polynomial,,0.012287974,0.002536715
1,135,0.56077359,0.614949268,0.07,4,0.7,polynomial,,0.01404484,0.00159241
1,136,0.55999256,0.566308408,0.07,2,0.1,polynomial,,0.012871116,0.002543127
1,137,0.558112485,0.613182593,0.03,5,0.3,polynomial,,0.01379543,0.001886377
1,138,0.557787488,0.563692515,0.09,2,0.1,polynomial,,0.013405238,0.002553504
1,139,0.557704752,0.616857906,0.05,4,0.7,polynomial,,0.014534706,0.001553245
1,140,0.556807987,0.562545819,0.1,2,0.1,polynomial,,0.01365671,0.002562176
1,141,0.555027175,0.617899571,0.1,4,0.9,polynomial,,0.015762512,0.001543912
1,142,0.553789237,0.61854321,0.09,4,0.9,polynomial,,0.016597673,0.001538498
1,143,0.553689171,0.619630388,0.01,4,0.5,polynomial,,0.017067062,0.001521266
1,144,0.551829349,0.619946928,0.03,4,0.7,polynomial,,0.018484244,0.001532407
1,145,0.550498834,0.620111905,0.07,4,0.9,polynomial,,0.019615921,0.00153601
1,146,0.549890611,0.620197307,0.1,4,1,polynomial,,0.020171196,0.001536725
1,147,0.548304257,0.620870486,0.09,4,1,polynomial,,0.022023318,0.001540538
1,148,0.545199618,0.61977384,0.01,5,0.3,polynomial,,0.021725375,0.001879014
1,149,0.545178601,0.622272367,0.05,4,0.9,polynomial,,0.0263301,0.001557187
1,150,0.545022156,0.61744302,0.1,5,0.5,polynomial,,0.022283831,0.001951799
1,151,0.544034903,0.622497985,0.07,4,1,polynomial,,0.027773943,0.001560934
1,152,0.543590175,0.618141667,0.09,5,0.5,polynomial,,0.023448937,0.001952659
1,153,0.539958858,0.619843618,0.07,5,0.5,polynomial,,0.026690985,0.001959421
1,154,0.537003686,0.624706177,0.05,4,1,polynomial,,0.038736682,0.001612358
1,155,0.534469962,0.622192564,0.05,5,0.5,polynomial,,0.032626282,0.001980257
1,156,0.534330647,0.625620711,0.03,4,0.9,polynomial,,0.043505978,0.001641555
1,157,0.530496284,0.627060355,0.01,4,0.7,polynomial,,0.051001335,0.001694346
1,158,0.523919483,0.625863381,0.03,5,0.5,polynomial,,0.047768362,0.002037434
1,159,0.522461606,0.628055494,0.03,4,1,polynomial,,0.063683734,0.001739087
1,160,0.514300707,0.626982887,0.1,5,0.7,polynomial,,0.0608825,0.002086185
1,161,0.510895426,0.627758731,0.09,5,0.7,polynomial,,0.066788646,0.002103742
1,162,0.501436848,0.629603963,0.07,5,0.7,polynomial,,0.08375215,0.002150662
1,163,0.492633714,0.632659449,0.01,4,0.9,polynomial,,0.11652919,0.002001065
1,164,0.485189125,0.632054989,0.05,5,0.7,polynomial,,0.113480317,0.002225364
1,165,0.481921518,0.633782804,0.01,5,0.5,polynomial,,0.123230402,0.00226179
1,166,0.468138315,0.634951773,0.01,4,1,polynomial,,0.158386935,0.002161612
1,167,0.45205926,0.634639581,0.1,5,0.9,polynomial,,0.170583598,0.002333631
1,168,0.450653838,0.635731115,0.03,5,0.7,polynomial,,0.175663194,0.00236685
1,169,0.44314679,0.635402032,0.09,5,0.9,polynomial,,0.186540128,0.002364868
1,170,0.419188505,0.637217304,0.07,5,0.9,polynomial,,0.228808585,0.002444176
1,171,0.403133711,0.63788792,0.1,5,1,polynomial,,0.256032107,0.002477988
1,172,0.390844672,0.638652315,0.09,5,1,polynomial,,0.277261187,0.002513675
1,173,0.381104291,0.639651712,0.05,5,0.9,polynomial,,0.294237725,0.002559773
1,174,0.358817769,0.640482452,0.07,5,1,polynomial,,0.331636527,0.002602482
1,175,0.328740019,0.64366488,0.01,5,0.7,polynomial,,0.378933317,0.002771077
1,176,0.311056892,0.643398296,0.03,5,0.9,polynomial,,0.409328968,0.002754812
1,177,0.310474719,0.642959911,0.05,5,1,polynomial,,0.411130453,0.002730086
1,178,0.22789194,0.646818207,0.03,5,1,polynomial,,0.539017514,0.002951242
1,179,0.128668012,0.65190415,0.01,5,0.9,polynomial,,0.671234018,0.003310901
1,180,0.040998642,0.655647342,0.01,5,1,polynomial,,0.77465657,0.003614313
