,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_metric,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
23,0.0016805648803710938,0.006275844573974609,0.19488498982095145,1.0,manhattan,1,distance,"{'n_neighbors': 1, 'metric': 'manhattan', 'weights': 'distance'}",85,0.22675366741051606,1.0,0.11447770904876764,1.0,0.2409223691575707,1.0,0.21159287301334606,1.0,0.18067833047455684,1.0,0.00023388089255672377,0.00040523593982076065,0.04490293139478402,0.0
24,0.0017146587371826172,0.006676816940307617,0.3857523719413821,0.8019903260902709,manhattan,2,uniform,"{'n_neighbors': 2, 'metric': 'manhattan', 'weights': 'uniform'}",77,0.3691295148792799,0.8008341180990198,0.35774042920076676,0.8019580443135527,0.4434720910299468,0.8000729865682104,0.38792102528302375,0.8009937599084438,0.3704987993138936,0.8060927215621274,0.00026214061080388176,0.0003377293419793668,0.03043001419615735,0.002137140268548911
25,0.0017117500305175782,0.006725311279296875,0.3852965588554819,1.0,manhattan,2,distance,"{'n_neighbors': 2, 'metric': 'manhattan', 'weights': 'distance'}",78,0.3731269951481684,1.0,0.3510181768579349,1.0,0.4432677076922379,1.0,0.38559786799962037,1.0,0.3734720465794481,1.0,0.00029856459465420985,0.00032918922124382423,0.031060166543068785,0.0
26,0.0016966819763183593,0.007039356231689453,0.45810432827139047,0.7378965982741038,manhattan,3,uniform,"{'n_neighbors': 3, 'metric': 'manhattan', 'weights': 'uniform'}",69,0.4576933469225931,0.7329950301141184,0.4615096107519432,0.7379582789057206,0.49759976443698106,0.7386691357265471,0.4547995621524932,0.7367295197429671,0.4189193570929419,0.743131026881166,0.00023020622422661901,0.0004929590741580731,0.024972135582317003,0.0032676384188890305
27,0.0017001628875732422,0.007100534439086914,0.4551031582915619,1.0,manhattan,3,distance,"{'n_neighbors': 3, 'metric': 'manhattan', 'weights': 'distance'}",70,0.45288566248589635,1.0,0.4491412369270612,1.0,0.4978210780782826,1.0,0.45243730637381196,1.0,0.4232305075927574,1.0,0.00023170944844285474,0.00036919347231463757,0.024034371612025606,0.0
28,0.0017022132873535157,0.007438135147094726,0.49597378600539593,0.6757050265591034,manhattan,5,uniform,"{'n_neighbors': 5, 'metric': 'manhattan', 'weights': 'uniform'}",57,0.4794953923481565,0.6736953891717392,0.5179578037289294,0.6711563434964457,0.5208506856982926,0.6744606369447042,0.4821665897038597,0.6794189390067422,0.47939845854774155,0.6797938241758859,0.00022285751713406742,0.0004659055405323214,0.01917850245018965,0.0033701358181936246
29,0.001694965362548828,0.007578992843627929,0.49495595114565283,1.0,manhattan,5,distance,"{'n_neighbors': 5, 'metric': 'manhattan', 'weights': 'distance'}",62,0.47886442160008247,1.0,0.5116737154766597,1.0,0.523139305915967,1.0,0.4834018299778351,1.0,0.4777004827577199,1.0,0.0002362431652897013,0.00043155492568782333,0.01878281852491797,0.0
30,0.0016894340515136719,0.007927942276000976,0.5140021020003036,0.641353529687746,manhattan,7,uniform,"{'n_neighbors': 7, 'metric': 'manhattan', 'weights': 'uniform'}",48,0.4972157311617196,0.6418374438747286,0.5329285532221013,0.6391034365904849,0.536316788470216,0.6407838935033483,0.49891749119585915,0.6434148377081154,0.5046319459516224,0.6416280367620523,0.00023021493553701335,0.0003838725233601193,0.017048655909075314,0.0014103844977851772
31,0.0017246723175048829,0.008072805404663087,0.5139622053474866,1.0,manhattan,7,distance,"{'n_neighbors': 7, 'metric': 'manhattan', 'weights': 'distance'}",49,0.4962709448309801,1.0,0.5306452360808923,1.0,0.5392889526399305,1.0,0.5005721621722716,1.0,0.5030337310133588,1.0,0.00021657665516298122,0.00043723849408553036,0.017501275090894296,0.0
32,0.0017145156860351562,0.008442258834838868,0.5225191742323164,0.6232590338617848,manhattan,9,uniform,"{'n_neighbors': 9, 'metric': 'manhattan', 'weights': 'uniform'}",32,0.5063876690338784,0.6292991115594407,0.5438952776266153,0.6220664034392835,0.535739648011665,0.6214498568653996,0.5023706802968902,0.6250585391792274,0.5242025961925333,0.6184212582655728,0.0002652211567848737,0.0004075760303024135,0.016129103512616403,0.0036829422865272835
33,0.0017021656036376952,0.008427858352661133,0.5229755849210536,1.0,manhattan,9,distance,"{'n_neighbors': 9, 'metric': 'manhattan', 'weights': 'distance'}",30,0.5062439900791759,1.0,0.5422982958668512,1.0,0.5398712445733468,1.0,0.5048538476908566,1.0,0.5216105463950377,1.0,0.00023589291812053364,0.0004914374297921891,0.015931336602755832,0.0
34,0.001716470718383789,0.008714628219604493,0.5267305368698167,0.6081810336103819,manhattan,11,uniform,"{'n_neighbors': 11, 'metric': 'manhattan', 'weights': 'uniform'}",24,0.4983917026054061,0.6127485544512297,0.5473243015021199,0.6095543469828824,0.5481617251632422,0.6030591466061794,0.5046973239408064,0.6125424983512922,0.5350776311375094,0.6030006216603256,0.0002394297424372031,0.0004289846459202708,0.021173686290079718,0.004355249829641795
35,0.0017144203186035157,0.008779382705688477,0.5282079906619296,1.0,manhattan,11,distance,"{'n_neighbors': 11, 'metric': 'manhattan', 'weights': 'distance'}",13,0.5011160780424992,1.0,0.5479137282864224,1.0,0.5511625736407932,1.0,0.5073940207456411,1.0,0.5334535525942918,1.0,0.00022401692969487851,0.00040507619979018617,0.02054233661539089,0.0
36,0.0017047882080078124,0.008913612365722657,0.5290754650749138,0.5968272519328883,manhattan,13,uniform,"{'n_neighbors': 13, 'metric': 'manhattan', 'weights': 'uniform'}",12,0.5050930829379405,0.603375487553683,0.5396756386226917,0.5966463408583405,0.5609224219449951,0.5912390750404733,0.5042743387531794,0.601115183190123,0.5354118431157618,0.5917601730218216,0.00024398996502685366,0.00039116945010174713,0.021711713647682495,0.004862128807446512
37,0.0017144203186035157,0.009039211273193359,0.5312133984568874,1.0,manhattan,13,distance,"{'n_neighbors': 13, 'metric': 'manhattan', 'weights': 'distance'}",5,0.5074577198444228,1.0,0.5428799210050479,1.0,0.5624895285423223,1.0,0.5078619854361508,1.0,0.5353778374564935,1.0,0.0002286839822101806,0.00044519184149980327,0.02117199740257379,0.0
38,0.001717853546142578,0.009425783157348632,0.5275920000767322,0.5868050242271698,manhattan,15,uniform,"{'n_neighbors': 15, 'metric': 'manhattan', 'weights': 'uniform'}",19,0.49945227718140506,0.5906315926995664,0.5360338586098348,0.5852477790189555,0.5583688193861367,0.5811967356665926,0.5040855760493063,0.5937059947000419,0.5400194691569786,0.5832430190506928,0.00022488170193682804,0.0004758893033667543,0.02243798362250974,0.004665443469507477
39,0.001781606674194336,0.00974578857421875,0.5310004672054508,1.0,manhattan,15,distance,"{'n_neighbors': 15, 'metric': 'manhattan', 'weights': 'distance'}",6,0.5039917202833367,1.0,0.5405421132168304,1.0,0.5616694791754447,1.0,0.5082727448288793,1.0,0.5405262785227629,1.0,0.00025777441897755404,0.0005101281028388694,0.021764163938936206,0.0
40,0.0017732143402099609,0.009744215011596679,0.5246963167365345,0.5785449781313018,manhattan,17,uniform,"{'n_neighbors': 17, 'metric': 'manhattan', 'weights': 'uniform'}",29,0.4966133534728856,0.5833966990196706,0.5370697028505284,0.5766901799552173,0.5559642520266861,0.5714038015926945,0.4960033004403456,0.5877192527612642,0.5378309748922271,0.573514957327662,0.00025853060634539797,0.00041043242565684025,0.02414641056531095,0.006122814687367518
41,0.0017044544219970703,0.009650611877441406,0.5292998786497242,1.0,manhattan,17,distance,"{'n_neighbors': 17, 'metric': 'manhattan', 'weights': 'distance'}",11,0.5022080258851409,1.0,0.5423665792232049,1.0,0.5604430591773872,1.0,0.5016379528060314,1.0,0.5398437761568563,1.0,0.00022264333205044485,0.0004464151563360732,0.02345617513362456,0.0
42,0.0017247200012207031,0.00991520881652832,0.5225627415087345,0.5710418921309265,manhattan,19,uniform,"{'n_neighbors': 19, 'metric': 'manhattan', 'weights': 'uniform'}",31,0.503357152242921,0.5754060095983319,0.5323382673194563,0.5690456415897069,0.5531791776853642,0.5650476808124414,0.4894672585531863,0.5805779101244378,0.5344718517427449,0.5651322185297146,0.0002565801774350177,0.0004016020834106607,0.022973548383772375,0.006079818880011466
43,0.001734161376953125,0.009991836547851563,0.5281270164813934,1.0,manhattan,19,distance,"{'n_neighbors': 19, 'metric': 'manhattan', 'weights': 'distance'}",14,0.507901529135597,1.0,0.5391508218205125,1.0,0.5590692707730004,1.0,0.49628143670942415,1.0,0.5382320239684331,1.0,0.00022965373571474105,0.0004901365148578944,0.022822225353817786,0.0
44,0.0017007827758789063,0.00577077865600586,0.20455359041183446,1.0,minkowski,1,uniform,"{'n_neighbors': 1, 'metric': 'minkowski', 'weights': 'uniform'}",81,0.2088912724328127,1.0,0.09355985965621882,1.0,0.2571351105513574,1.0,0.24171298443307743,1.0,0.22146872498570613,1.0,0.000246841358403046,0.0004571267156935177,0.05791404381361476,0.0
